374, 131
399, 138
437, 154
402, 162
355, 172
426, 181
459, 185
392, 201
320, 190
371, 227
408, 230
444, 239
345, 250
382, 258
420, 268
458, 278
487, 293
447, 313
426, 292
389, 328
376, 296
326, 316
338, 283
273, 322
360, 348
444, 374
425, 337
400, 373
332, 389
360, 388
474, 390
414, 406
516, 412
473, 430
537, 440
462, 470
417, 434
344, 467
358, 425
315, 425
278, 411
267, 446
224, 451
380, 473
416, 479
451, 500
514, 501
394, 535
366, 503
309, 509
306, 471
268, 518
305, 532
339, 532
275, 557
246, 533
213, 565
251, 580
182, 593
308, 582
340, 556
365, 587
428, 563
434, 589
425, 521
477, 531
463, 557
560, 533
503, 546
530, 560
494, 584
579, 563
541, 588
603, 582
579, 593
446, 418
303, 288
510, 323
478, 323
495, 457
